Company Name,Index_type,Sector,Industry,Symbol,P/E,MarketCap
Housing Development and Infrastructure Limited,None,Real Estate,Real Estate—Diversified,HDIL,2.5733402,2370020096
Linc Pen & Plastics Limited,None,Industrials,Business Equipment & Supplies,LINCPEN,48.155735,3494990592
Jaypee Infratech Limited,None,Industrials,Infrastructure Operations,JPINFRATEC,0,0
Veto Switchgears And Cables Limited,None,Industrials,Electrical Equipment & Parts,VETO,11.454526,2036703360
Maheshwari Logistics Limited,None,Industrials,Integrated Freight & Logistics,MAHESHWARI,11.976575,2421051136
Allied Digital Services Limited,None,Technology,Information Technology Services,ADSL,12.819642,6156439040
Reliance Naval and Engineering Limited,None,Industrials,Aerospace & Defense,RNAVAL,0,0
Transformers And Rectifiers (India) Limited,None,Industrials,Electrical Equipment & Parts,TRIL,40.080563,5276046848
OM INFRA LIMITED,None,Industrials,Engineering & Construction,OMINFRAL,22.16873,4656288768
Liberty Shoes Limited,None,Consumer Cyclical,Footwear & Accessories,LIBERTSHOE,27.24764,2611339264
MMP Industries Limited,None,Basic Materials,Aluminum,MMP,16.629679,4187618816
Madhya Bharat Agro Products Limited,None,Basic Materials,Agricultural Inputs,MBAPL,23.258718,5508439552
Albert David Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,ALBERTDAVD,9.057603,3322976256
Bombay Rayon Fashions Limited,None,Consumer Cyclical,Textile Manufacturing,BRFL,35.04464,2492186624
Vinyl Chemicals (India) Limited,None,Basic Materials,Specialty Chemicals,VINYLINDIA,26.119627,4812572160
Pitti Engineering Limited,None,Industrials,Metal Fabrication,PITTIENG,16.421343,8009319936
Khaitan Chemicals & Fertilizers Limited,None,Don't Know,Don't Know,KHAICHEM,0,0
Hitech Corporation Limited,None,Consumer Cyclical,Packaging & Containers,HITECHCORP,14.432486,4560148480
GeeCee Ventures Limited,None,Real Estate,Real Estate—Development,GEECEE,25.55855,3373057280
Som Distilleries & Breweries Limited,None,Consumer Defensive,Beverages—Brewers,SDBL,0,0
Sintex Plastics Technology Limited,None,Consumer Cyclical,Auto Parts,SPTL,0,0
Jagsonpal Pharmaceuticals Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,JAGSNPHARM,18.6903,4613468160
Zodiac Clothing Company Limited,None,Consumer Cyclical,Apparel Manufacturing,ZODIACLOTH,0,0
MBL Infrastructures Limited,None,Industrials,Engineering & Construction,MBLINFRA,9.910343,3242167296
Bhartiya International Limited,None,Consumer Cyclical,Footwear & Accessories,BIL,16.30171,3283238144
Kanpur Plastipack Limited,None,Consumer Cyclical,Packaging & Containers,KANPRPLA,9.153626,2762777088
SIL Investments Limited,None,Financial Services,Asset Management,SILINV,10.957729,3470107136
Wanbury Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,WANBURY,0,0
Sintercom India Limited,None,Consumer Cyclical,Auto Parts,SINTERCOM,0,0
Selan Exploration Technology Limited,None,Energy,Oil & Gas E&P,SELAN,32.47169,2310400000
Sarla Performance Fibers Limited,None,Consumer Cyclical,Textile Manufacturing,SARLAPOLY,11.239457,5118733824
Sintex Industries Limited,None,Consumer Cyclical,Textile Manufacturing,SINTEX,0,0
Poddar Pigments Limited,None,Basic Materials,Specialty Chemicals,PODDARMENT,11.067492,3036051456
Mcleod Russel India Limited,None,Consumer Defensive,Packaged Foods,MCLEODRUSS,0,0
Windsor Machines Limited,None,Industrials,Specialty Industrial Machinery,WINDMACHIN,34.056763,2702273792
UFO Moviez India Limited,None,Communication Services,Entertainment,UFO,0,0
Hind Rectifiers Limited,None,Industrials,Electrical Equipment & Parts,HIRECT,47.964497,3380566784
Refex Industries Limited,None,Energy,Thermal Coal,REFEX,7.1334066,2717658624
Salzer Electronics Limited,None,Industrials,Electrical Equipment & Parts,SALZERELEC,12.046357,2907252992
Vikas Multicorp Limited,None,Don't Know,Don't Know,VIKASMCORP,0,0
The Ugar Sugar Works Limited,None,Consumer Defensive,Confectioners,UGARSUGAR,43.93531,5501250048
Airan Limited,None,Technology,Information Technology Services,AIRAN,32.969433,2831703040
Eimco Elecon (India) Limited,None,Industrials,Farm & Heavy Construction Machinery,EIMCOELECO,29.859924,1918274688
Bannari Amman Spinning Mills Limited,None,Consumer Cyclical,Textile Manufacturing,BASML,4.876444,5287931904
Euro India Fresh Foods Limited,None,Consumer Defensive,Packaged Foods,EIFFL,64.35882,2651120128
Jayshree Tea & Industries Limited,None,Consumer Defensive,Farm Products,JAYSREETEA,0,0
Astron Paper & Board Mill Limited,None,Basic Materials,Paper & Paper Products,ASTRON,15.251415,2129699968
Trigyn Technologies Limited,None,Technology,Information Technology Services,TRIGYN,8.838235,4749687808
AksharChem India Limited,None,Don't Know,Don't Know,AKSHARCHEM,19.27629,3259709184
Apollo Micro Systems Limited,None,Industrials,Aerospace & Defense,APOLLO,30.368664,2745367808
Kothari Products Limited,None,Industrials,Conglomerates,KOTHARIPRO,0,0
Majesco Limited,None,Technology,Information Technology Services,MAJESCO,0,0
Star Paper Mills Limited,None,Basic Materials,Paper & Paper Products,STARPAPER,7.3746147,2025553280
Setco Automotive Limited,None,Consumer Cyclical,Auto Parts,SETCO,0,0
Onward Technologies Limited,None,Technology,Information Technology Services,ONWARDTEC,28.736797,7331283968
Generic Engineering Construction and Projects Limited,None,Industrials,Engineering & Construction,GENCON,11.875588,1600890496
Consolidated Finvest & Holdings Limited,None,Financial Services,Capital Markets,CONSOFINVT,1.5881637,6757834240
GP Petroleums Limited,None,Energy,Oil & Gas Refining & Marketing,GULFPETRO,17.87106,2572163072
Shiva Texyarn Limited,None,Consumer Cyclical,Textile Manufacturing,SHIVATEX,13.541,3085945088
Genus Paper & Boards Limited,None,Basic Materials,Paper & Paper Products,GENUSPAPER,28.148855,3801428992
Asian Hotels (East) Limited,None,Consumer Cyclical,Lodging,AHLEAST,0,0
Birla Cable Limited,None,Technology,Communication Equipment,BIRLACABLE,28.878336,3843591168
Mazda Limited,None,Industrials,Specialty Industrial Machinery,MAZDA,13.646728,2233218560
Dhunseri Tea & Industries Limited,None,Consumer Defensive,Packaged Foods,DTIL,6.49229,2843691008
Shivam Autotech Limited,None,Consumer Cyclical,Auto Parts,SHIVAMAUTO,0,0
Gokul Refoils and Solvent Limited,None,Consumer Defensive,Packaged Foods,GOKUL,11.916836,3489573632
Speciality Restaurants Limited,None,Consumer Cyclical,Restaurants,SPECIALITY,0,0
Chemfab Alkalis Limited,None,Basic Materials,Specialty Chemicals,CHEMFAB,0,0
Inspirisys Solutions Limited,None,Technology,Information Technology Services,INSPIRISYS,0,0
Shemaroo Entertainment Limited,None,Communication Services,Entertainment,SHEMAROO,164.22765,3294482432
Sakar Healthcare Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,SAKAR,20.458334,1917109504
Rane Engine Valve Limited,None,Consumer Cyclical,Auto Parts,RANEENGINE,37.844646,1827882368
Nahar Industrial Enterprises Limited,None,Consumer Cyclical,Textile Manufacturing,NAHARINDUS,6.126934,7066826752
Nahar Capital and Financial Services Limited,None,Financial Services,Capital Markets,NAHARCAP,4.8072886,8434223616
Simplex Infrastructures Limited,None,Industrials,Engineering & Construction,SIMPLEXINF,0,0
Universus Photo Imagings Limited,None,Healthcare,Medical Devices,UNIVPHOTO,15.276773,10219296768
Royal Orchid Hotels Limited,None,Consumer Cyclical,Lodging,ROHLTD,0,0
Aban Offshore Limited,None,Energy,Oil & Gas Drilling,ABAN,0,0
Banswara Syntex Limited,None,Consumer Cyclical,Textile Manufacturing,BANSWRAS,9.163495,4004751872
Nila Infrastructures Limited,None,Real Estate,Real Estate—Development,NILAINFRA,57.874012,2910526464
Krebs Biochemicals and Industries Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,KREBSBIO,0,0
KCP Sugar and Industries Corporation Limited,None,Consumer Defensive,Confectioners,KCPSUGIND,7.7544913,2955474944
Raj Television Network Limited,None,Communication Services,Broadcasting,RAJTV,87.231766,2110275712
Niraj Cement Structurals Limited,None,Industrials,Engineering & Construction,NIRAJ,145.83333,1264891904
Premier Explosives Limited,None,Basic Materials,Specialty Chemicals,PREMEXPLN,162.83423,2619236096
Agarwal Industrial Corporation Limited,None,Basic Materials,Specialty Chemicals,AGARIND,11.405228,7227855360
Dhunseri Investments Limited,None,Financial Services,Capital Markets,DHUNINV,2.1250505,4247905280
B&B Triplewall Containers Limited,None,Don't Know,Don't Know,BBTCL,0,0
Essar Shipping Limited,None,Industrials,Marine Shipping,ESSARSHPNG,0,0
Emkay Global Financial Services Limited,None,Financial Services,Capital Markets,EMKAY,11.481938,3006549760
DCM Nouvelle Limited,None,Consumer Cyclical,Textile Manufacturing,DCMNVL,4.7729607,5148764672
Mangalam Drugs And Organics Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,MANGALAM,10.96008,1920752000
Andhra Cements Limited,None,Basic Materials,Building Materials,ANDHRACEMT,0,0
ISMT Limited,None,Basic Materials,Steel,ISMTLTD,0,0
Orient Green Power Company Limited,None,Utilities,Utilities—Independent Power Producers,GREENPOWER,0,0
Orbit Exports Limited,None,Consumer Cyclical,Textile Manufacturing,ORBTEXP,34.659416,3316093440
Bigbloc Construction Limited,None,Industrials,Building Products & Equipment,BIGBLOC,64.2911,6034669056
Shreyas Shipping & Logistics Limited,None,Industrials,Marine Shipping,SHREYAS,5.719498,7452552192
Manaksia Steels Limited,None,Basic Materials,Steel,MANAKSTEEL,8.497206,2690170624
Donear Industries Limited,None,Consumer Cyclical,Textile Manufacturing,DONEAR,107.844696,3549324800
Capital Trust Limited,None,Financial Services,Credit Services,CAPTRUST,0,0
Bharat Wire Ropes Limited,None,Basic Materials,Steel,BHARATWIRE,23.749235,4910357504
Kothari Petrochemicals Limited,None,Basic Materials,Specialty Chemicals,KOTHARIPET,17.15677,5390330368
3rd Rock Multimedia Limited,None,Industrials,Specialty Business Services,3RDROCK,51.310566,1455037440
Goodluck India Limited,None,Industrials,Metal Fabrication,GOODLUCK,15.405417,8300666880
TIL Limited,None,Industrials,Farm & Heavy Construction Machinery,TIL,0,0
Welspun Investments and Commercials Limited,None,Financial Services,Capital Markets,WELINV,40.612137,1126757504
Brooks Laboratories Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,BROOKS,0,0
Stel Holdings Limited,None,Consumer Defensive,Farm Products,STEL,19.188267,2595751936
Nandan Denim Limited,None,Consumer Cyclical,Textile Manufacturing,NDL,13.07627,6664410112
Paramount Communications Limited,None,Technology,Communication Equipment,PARACABLES,50.588234,2629316608
Ruchira Papers Limited,None,Basic Materials,Paper & Paper Products,RUCHIRA,9.05539,1988612608
AXISCADES Technologies Limited,None,Industrials,Engineering & Construction,AXISCADES,0,0
Aspinwall and Company Limited,None,Consumer Defensive,Farm Products,ASPINWALL,18.641672,1547182208
South West Pinnacle Exploration Limited,None,Energy,Oil & Gas Equipment & Services,SOUTHWEST,72.89809,6386859008
The United Nilgiri Tea Estates Company Limited,None,Consumer Defensive,Farm Products,UNITEDTEA,13.749217,1754295808
SMS Lifesciences India Limited,None,Healthcare,Biotechnology,SMSLIFE,9.894786,2140942848
Emmbi Industries Limited,None,Consumer Cyclical,Packaging & Containers,EMMBI,12.324913,1822070784
Rana Sugars Limited,None,Consumer Defensive,Confectioners,RANASUG,2.8398154,4539224064
Apollo Sindoori Hotels Limited,None,Consumer Cyclical,Lodging,APOLSINHOT,17.242107,2119325952
Bombay Super Hybrid Seeds Limited,None,Basic Materials,Agricultural Inputs,BSHSL,38.00086,3722115584
Arihant Superstructures Limited,None,Real Estate,Real Estate—Development,ARIHANTSUP,21.18404,7386161664
Iris Clothings Limited,None,Consumer Cyclical,Apparel Manufacturing,IRISDOREME,31.809946,3151068416
D P Wires Limited,None,Industrials,Metal Fabrication,DPWIRES,14.754173,4352614400
Revathi Equipment Limited,None,Industrials,Farm & Heavy Construction Machinery,REVATHI,29.935148,2209373952
RKEC Projects Limited,None,Industrials,Engineering & Construction,RKEC,8.04776,1431039360
Pioneer Distilleries Limited,None,Consumer Defensive,Beverages—Wineries & Distilleries,PIONDIST,0,0
Magadh Sugar & Energy Limited,None,Consumer Defensive,Confectioners,MAGADSUGAR,14.614834,4333144576
Electrotherm (India) Limited,None,Industrials,Metal Fabrication,ELECTHERM,1.263775,1532958848
Shreyans Industries Limited,None,Basic Materials,Paper & Paper Products,SHREYANIND,12.242819,1672474752
Mawana Sugars Limited,None,Consumer Defensive,Confectioners,MAWANASUG,4.974048,4273521408
Bhagyanagar India Limited,None,Basic Materials,Copper,BHAGYANGR,21.908363,1575753728
Hindustan Motors Limited,None,Consumer Cyclical,Auto Manufacturers,HINDMOTORS,19.896193,2399578624
Nitco Limited,None,Industrials,Building Products & Equipment,NITCO,0,0
Sundaram Brake Linings Limited,None,Consumer Cyclical,Auto Parts,SUNDRMBRAK,29.43002,1538380416
Ginni Filaments Limited,None,Consumer Cyclical,Textile Manufacturing,GINNIFILA,7.0281715,3815088384
Videocon Industries Limited,None,Consumer Cyclical,"Furnishings, Fixtures & Appliances",VIDEOIND,0,0
Oswal Agro Mills Limited,None,Real Estate,Real Estate—Development,OSWALAGRO,20.572206,4244006144
Commercial Engineers & Body Builders Co Limited,None,Industrials,Railroads,CEBBCO,30.007177,3744724224
Ballarpur Industries Limited,None,Basic Materials,Paper & Paper Products,BALLARPUR,0,0
Superhouse Limited,None,Consumer Cyclical,Footwear & Accessories,SUPERHOUSE,7.629759,2079315072
Mcnally Bharat Engineering Company Limited,None,Industrials,Engineering & Construction,MBECL,0,0
Wealth First Portfolio Managers Limited,None,Financial Services,Capital Markets,WEALTH,20.028109,2733007616
Maral Overseas Limited,None,Consumer Cyclical,Textile Manufacturing,MARALOVER,6.3241105,4051180800
Vivimed Labs Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,VIVIMEDLAB,0,0
Emkay Taps and Cutting Tools Limited,None,Don't Know,Don't Know,EMKAYTOOLS,0,0
De Nora India Limited,None,Industrials,Electrical Equipment & Parts,DENORA,31.650276,2101421184
Raj Oil Mills Limited,None,Don't Know,Don't Know,ROML,56.460903,1061228288
Elgi Rubber Company Limited,None,Consumer Cyclical,Auto Parts,ELGIRUBCO,122.77228,1861860096
Dangee Dums Limited,None,Consumer Cyclical,Restaurants,DANGEE,0,0
Websol Energy System Limited,None,Technology,Solar,WEBELSOLAR,6.2077255,4073880576
Aakash Exploration Services Limited,None,Energy,Oil & Gas Equipment & Services,AAKASH,5.4617953,298181248
Kakatiya Cement Sugar & Industries Limited,None,Basic Materials,Building Materials,KAKATCEM,19.792652,1794808704
Umang Dairies Limited,None,Consumer Defensive,Packaged Foods,UMANGDAIRY,0,0
Precot Limited,None,Consumer Cyclical,Textile Manufacturing,PRECOT,4.9916534,4270200064
CL Educate Limited,None,Consumer Defensive,Education & Training Services,CLEDUCATE,0,0
R.P.P. Infra Projects Limited,None,Industrials,Engineering & Construction,RPPINFRA,5.8086805,1272402304
JHS Svendgaard Laboratories Limited,None,Consumer Defensive,Household & Personal Products,JHS,56.043953,1642212736
Jocil Limited,None,Basic Materials,Specialty Chemicals,JOCIL,15.5798025,1616813440
Ponni Sugars (Erode) Limited,None,Consumer Defensive,Confectioners,PONNIERODE,8.074657,2110153984
Standard Industries Limited,None,Consumer Cyclical,Textile Manufacturing,SIL,5.155039,855574400
Industrial Investment Trust Limited,None,Financial Services,Credit Services,IITL,0,0
Autoline Industries Limited,None,Consumer Cyclical,Auto Parts,AUTOIND,0,0
Kilitch Drugs (India) Limited,None,Healthcare,Drug Manufacturers—General,KILITCH,46.568745,2953636352
Indian Terrain Fashions Limited,None,Consumer Cyclical,Apparel Manufacturing,INDTERRAIN,23.55089,2120331648
20 Microns Limited,None,Basic Materials,Other Industrial Metals & Mining,20MICRONS,10.755303,2813437952
JMT Auto Limited,None,Consumer Cyclical,Auto Parts,JMTAUTOLTD,0,0
SKM Egg Products Export (India) Limited,None,Consumer Defensive,Packaged Foods,SKMEGGPROD,15.856403,1863853312
Seya Industries Limited,None,Basic Materials,Specialty Chemicals,SEYAIND,0,0
Mahamaya Steel Industries Limited,None,Basic Materials,Steel,MAHASTEEL,24.035297,1192297600
Pashupati Cotspin Limited,None,Don't Know,Don't Know,PASHUPATI,0,0
Lovable Lingerie Limited,None,Consumer Cyclical,Apparel Manufacturing,LOVABLE,34.128048,2257555712
JBF Industries Limited,None,Consumer Cyclical,Textile Manufacturing,JBFIND,0,0
Creative Peripherals and Distribution Limited,None,Technology,Electronics & Computer Distribution,CREATIVE,50.457054,6787159552
Ruchi Infrastructure Limited,None,Industrials,Specialty Business Services,RUCHINFRA,0,0
Compuage Infocom Limited,None,Technology,Electronics & Computer Distribution,COMPINFO,10.260158,2283858688
TPL Plastech Limited,None,Don't Know,Don't Know,TPLPLASTEH,9.520401,1032214336
Penta Gold Limited,None,Don't Know,Don't Know,PENTAGOLD,0,0
IL&FS Investment Managers Limited,None,Financial Services,Financial Conglomerates,IVC,41.999996,2667739136
Poddar Housing and Development Limited,None,Real Estate,Real Estate—Development,PODDARHOUS,0,0
Ahlada Engineers Limited,None,Industrials,Building Products & Equipment,AHLADA,15.464969,1568609408
Rama Steel Tubes Limited,None,Basic Materials,Steel,RAMASTEEL,24.073309,5867823616
Touchwood Entertainment Limited,None,Communication Services,Advertising Agencies,TOUCHWOOD,0,0
Reliance Home Finance Limited,None,Financial Services,Mortgage Finance,RHFL,0,0
VIP Clothing Limited,None,Consumer Cyclical,Apparel Manufacturing,VIPCLOTHNG,85.45151,2176290048
Asian Hotels (North) Limited,None,Consumer Cyclical,Lodging,ASIANHOTNR,0,0
Shyam Century Ferrous Limited,None,Basic Materials,Steel,SHYAMCENT,0,0
Beta Drugs Limited,None,Don't Know,Don't Know,BETA,0,0
Mangalam Global Enterprise Limited,None,Consumer Defensive,Farm Products,MGEL,1833.5294,3909668864
Mold-Tek Technologies Limited,None,Industrials,Engineering & Construction,MOLDTECH,18.276701,2126667904
TCI Developers Limited,None,Real Estate,Real Estate Services,TCIDEVELOP,72.159096,1213145344
Shrenik Limited,None,Basic Materials,Paper & Paper Products,SHRENIK,0,0
DRC Systems India Limited,None,Technology,Information Technology Services,DRCSYSTEMS,293.6444,1439406720
Alphageo (India) Limited,None,Energy,Oil & Gas Equipment & Services,ALPHAGEO,5.3481154,2042509312
Sakuma Exports Limited,None,Consumer Defensive,Farm Products,SAKUMA,23.076923,3029052672
Sakthi Sugars Limited,None,Consumer Defensive,Confectioners,SAKHTISUG,0,0
Noida Toll Bridge Company Limited,None,Industrials,Infrastructure Operations,NOIDATOLL,0,0
Ndr Auto Components Limited,None,Consumer Cyclical,Auto Parts,NDRAUTO,16.298582,2449938176
Smartlink Holdings Limited,None,Technology,Communication Equipment,SMARTLINK,18.158699,1424430080
Hubtown Limited,None,Real Estate,Real Estate—Development,HUBTOWN,0,0
BPL Limited,None,Technology,Consumer Electronics,BPL,0,0
FCS Software Solutions Limited,None,Technology,Information Technology Services,FCSSOFT,0,0
Emami Realty Limited,None,Real Estate,Real Estate—Development,EMAMIREAL,0,0
DRS Dilip Roadlines Limited,None,Don't Know,Don't Know,DRSDILIP,0,0
Prime Securities Limited,None,Financial Services,Capital Markets,PRIMESECU,19.826632,3356601600
Uttam Galva Steels Limited,None,Basic Materials,Steel,UTTAMSTL,0,0
Rajnandini Metal Limited,None,Basic Materials,Other Industrial Metals & Mining,RAJMET,72.21569,4529664000
DEEP ENERGY RESOURCES LIMITED,None,Energy,Oil & Gas Equipment & Services,DEEPENR,373.07693,1396800000
Silver Touch Technologies Limited,None,Don't Know,Don't Know,SILVERTUC,0,0
K.M.Sugar Mills Limited,None,Consumer Defensive,Confectioners,KMSUGAR,7.587644,2847406336
